Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Bakjwi (Thirst)	"Art House & International, Drama, Horror"
Vengeance (Fuk sau)	"Action & Adventure, Art House & International, Mystery & Suspense"
New World Order	"Documentary, Special Interest"
April Fool's Day	Horror
Blood: The Last Vampire	"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy"
Shrink	"Comedy, Drama"
Ong Bak 2	"Action & Adventure, Art House & International"
Bananas!	"Art House & International, Documentary, Special Interest"
Last Ride	Drama
Tron Legacy	"Action & Adventure, Science Fiction & Fantasy"
The Canyon	"Drama, Mystery & Suspense"
"Manson, My Name Is Evil"	"Comedy, Drama, Science Fiction & Fantasy"
Broken Hill	"Drama, Kids & Family"
A Beautiful Life	Drama
Suck	"Comedy, Horror, Musical & Performing Arts"
Chloe	"Drama, Mystery & Suspense"
Armed and Dangerous	Comedy
The Hole	"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
NoBody's Perfect	"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness"
The Good Soldier	"Documentary, Drama, Special Interest, Television"
High Life	Comedy
Around the World in 80 Days	"Action & Adventure, Comedy, Drama, Kids & Family"
The Good Heart	Drama
Wonderful World	"Drama, Romance"
Collapse	"Documentary, Special Interest"
Three Blind Mice	"Comedy, Drama"
The Last Song	"Drama, Kids & Family, Romance"
Babies	"Documentary, Special Interest"
Lottery Ticket	Comedy
Going the Distance	"Comedy, Romance"
Life as We Know It	"Comedy, Drama"
The Final	"Drama, Horror, Mystery & Suspense"
Frozen	"Drama, Horror, Mystery & Suspense"
Prodigal Sons	"Documentary, Special Interest"
The Ghost Writer	"Drama, Mystery & Suspense"
Repo Men	"Action & Adventure, Science Fiction & Fantasy"
7 Days (Les 7 jours du talion)	"Art House & International, Horror, Mystery & Suspense"
Daddy Longlegs	"Comedy, Drama"
Winter's Bone	Drama
The Kids Are All Right	"Comedy, Drama"
Lucky	"Documentary, Special Interest"
High School	Comedy
Stolen	"Drama, Mystery & Suspense"
The Killing Jar	"Drama, Mystery & Suspense"
La MISSION	Drama
Predators	"Action & Adventure, Horror, Science Fiction & Fantasy"
Stonewall Uprising	"Documentary, Special Interest"
The Oath	"Documentary, Special Interest"
The Wild Hunt	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Lottery	"Documentary, Special Interest"
Assault on Precinct 13	"Action & Adventure, Drama, Mystery & Suspense"
Asylum	"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance"
Attack of the 50 Foot Woman	"Classics, Science Fiction & Fantasy"
Avenging Angel	"Action & Adventure, Drama, Mystery & Suspense"
The Awakening	"Horror, Mystery & Suspense"
Babes in Toyland	"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Bad Company	"Action & Adventure, Drama, Western"
The Bad News Bears	"Classics, Comedy"
The Bad Seed	"Classics, Drama, Horror, Mystery & Suspense"
Bang The Drum Slowly	"Classics, Comedy, Drama, Sports & Fitness"
Battleground	"Action & Adventure, Classics, Drama"
Beauty and The Beast (La Belle et la bête)	"Drama, Science Fiction & Fantasy, Romance"
1001 Grams	Drama
The Best of Times	"Comedy, Drama"
Betrayed	"Action & Adventure, Drama, Mystery & Suspense"
The Big Brawl (Battle Creek Brawl)	"Action & Adventure, Comedy"
Big Business	Comedy
The Big Heat	"Classics, Drama, Mystery & Suspense"
The Big Sleep	"Classics, Drama, Mystery & Suspense"
The Big Sleep	"Art House & International, Drama, Mystery & Suspense"
Billy Budd	"Action & Adventure, Classics, Drama"
The Birds	"Classics, Horror, Mystery & Suspense"
Black Christmas	"Horror, Mystery & Suspense"
The Black Hole	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The Black Pirate	"Action & Adventure, Classics"
Black Rain	"Action & Adventure, Drama, Mystery & Suspense"
Black Sunday	"Action & Adventure, Drama, Horror, Mystery & Suspense"
Black Widow	"Drama, Mystery & Suspense"
Blackmail	"Classics, Drama, Mystery & Suspense"
Blind Date	"Comedy, Drama"
Blood and Sand	"Classics, Drama, Romance"
Blood Feast	"Classics, Horror"
Der Blaue Engel (The Blue Angel)	"Art House & International, Classics, Drama, Musical & Performing Arts"
Bluebeard	"Classics, Drama, Horror, Mystery & Suspense"
The Border	"Action & Adventure, Drama, Mystery & Suspense"
Born Yesterday	"Classics, Comedy, Drama"
The Boston Strangler	"Classics, Drama, Mystery & Suspense"
The Bounty	"Action & Adventure, Drama"
The Boys from Brazil	"Action & Adventure, Drama, Mystery & Suspense"
Brainstorm	"Mystery & Suspense, Science Fiction & Fantasy"
Breakout	Action & Adventure
Brewster's Millions	Comedy
Brian's Song	"Classics, Drama, Television"
Brief Encounter	"Classics, Drama, Romance"
Broken Arrow	"Action & Adventure, Classics, Drama, Western, Romance"
Broken Blossoms	"Classics, Drama, Romance"
The Brotherhood	"Action & Adventure, Classics, Drama"
Bug	"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Burglar	"Comedy, Drama"
Bus Stop	"Comedy, Drama, Romance"
Butch Cassidy and the Sundance Kid	"Action & Adventure, Classics, Western"
Bye Bye Birdie	"Classics, Comedy, Kids & Family, Musical & Performing Arts"
Calamity Jane	"Classics, Comedy, Musical & Performing Arts, Western, Romance"
Camelot	"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Camille	"Classics, Drama, Romance"
Cape Fear	"Classics, Drama, Mystery & Suspense"
Captain Blood	"Action & Adventure, Classics"
